CIN,Company Name,Status
U74999PN2021PTC200412,STAYUG PRIVATE LIMITED,Active
U74999TG2021PTC150232,ENERGY ADVISORY AND CONSULTING SERVICES PRIVATE LIMITED,Active
U72900KA2019PTC120093,CAREMPATHY TECHNOLOGIES PRIVATE LIMITED,Active
U74999RJ2019PTC063545,GBLINK NETWORK SOLUTIONS PRIVATE LIMITED,Active
U74999KL2020PTC064997,CONSULTFULL EMEDIA & BUSINESS PRIVATE LIMITED,Active
U18209TG2019PTC129722,SOHOPUNK FABRICS PRIVATE LIMITED,Active
U74999HR2019OPC077993,DIVYAM EYOGGUROO (OPC) PRIVATE LIMITED,Active
U74140DL2019PTC344953,DICER VENTURES PRIVATE LIMITED,Active
U29100GJ2018PTC103248,TAIYI DIVINE LASER AUTOMATION PRIVATE LIMITED,Active
U72900TG2019PTC130044,DATAJANGO TECHNOLOGIES PRIVATE LIMITED,Active
U74999RJ2018PTC060043,PECANOS FOODS PRIVATE LIMITED,Active
U52500DL2019PTC345134,CRUMAN FAST PRIVATE LIMITED,Active
U74999TN2018OPC120533,KOUSALYA ANTIAGING LIFESTYLE MEDICINE (OPC) PRIVATE LIMITED,Active
U29305DN2019PLC005568,STERLITE GRID 17 LIMITED,Active
U29309DN2019PLC005567,STERLITE GRID 20 LIMITED,Active
U72900KA2019FTC121102,FC SOFTWARE PRIVATE LIMITED,Active
U72900KA2019PTC121069,ECAIOT SYSTEMS PRIVATE LIMITED,Active
U74999GA2019PTC013866,GERIACARE SOLUTIONS PRIVATE LIMITED,Active
U05005GJ2018PTC100660,GOLDPRAWN FISHERIES PRIVATE LIMITED,Active
U74999MH2018PTC311941,AWL EDIBLE OILS AND FOODS PRIVATE LIMITED,Active
U74999DL2019PTC346177,PPLFY ANALYTICS PRIVATE LIMITED,Active
U40100DN2019PLC005572,STERLITE GRID 22 LIMITED,Active
U40106DN2019PLC005574,STERLITE GRID 23 LIMITED,Active
U74999PN2019PTC182788,JADHAV MATKAR CATTLE FEEDS PRIVATE LIMITED,Active
U80302DL2019PTC347326,IGENERATION EDUCATIONAL INITIATIVES PRIVATE LIMITED,Active
U65910TG1991PTC012307,JINNUR INVESTMENTS PRIVATE LIMITED,Active
U24230TG1984PTC004422,SVS DRUGS AND PHARMACEUTICALS PVT LTD,Active
U72900TG2022PTC166400,HART RXR PRIVATE LIMITED,Active
U92410PN2022PTC214527,PLAY OFFSIDE PRIVATE LIMITED,Active
U31109GJ1993PTC019613,ULTRAVOLT INSTRUMENTS PRIVATE LIMITED,Active
U25209GJ1962PTC001144,LAMINATED PLASTIC PRIVATE LTD,Active
U24231GJ1994PTC021644,RELIANCE PHARMACY PVT LTD,Active
U25111AS1988PTC003157,NAND TYRE INDUSTRIES PVT LTD,Active
U29191GJ2004PTC043913,COLDWAVE AIR TECHNIQUES PRIVATE LIMITED,Active
U22110KA1991PTC011543,MAA PRINT AND PRODUCTION PRIVATE LIMITED,Active
U74999KA1994PTC015877,GAINWELL MEDIMART PRIVATE LIMITED,Active
U85110KA2005PTC035360,ASIATIC CLINICAL RESEARCH PRIVATE LIMITED,Active
