CIN,Company Name,Status
U93000TN2019PTC126729,THILLAI AUTOMATION PRIVATE LIMITED,Active
U72900PN2019FTC181197,HANSEN TECHSOL PRIVATE LIMITED,Active
U40106MH2019PTC319243,PRENGY RENEWABLE PRIVATE LIMITED,Active
U80302BR2019OPC040562,ACADBA (OPC) PRIVATE LIMITED,Active
U72900RJ2019PTC063649,EXXOS DIGITECH PRIVATE LIMITED,Active
U74999DL1998PTC344619,DAL SPORTS GEAR PRIVATE LIMITED,Active
U72200DL2018PTC336433,MIRSYS TECHNOLOGIES PRIVATE LIMITED,Active
U63000RJ2019PTC063784,TURTLEKRAFT HOLIDAYS PRIVATE LIMITED,Active
U51909HR2019PTC078148,SECONDBLOCK BEVERAGES PRIVATE LIMITED,Active
U45500MH2019OPC320312,MDAC INFRASTRUCTURE (OPC) PRIVATE LIMITED,Active
U93020DL2019PTC345372,AMYYRA DIAGNOSTICS PRIVATE LIMITED,Active
U72200KA2019PTC121410,ALATINE NJ TECHSOL PRIVATE LIMITED,Active
U72900KA2019PTC121628,VI MARKS SERVICES PRIVATE LIMITED,Active
U55101KA2019PTC121774,AADHYARAGAVI TECH AND HOSPITALITY SERVICES PRIVATE LIMITED,Active
U74999WB2019PTC230752,VERVE DANCE ZONE PRIVATE LIMITED,Active
U31909PN2019FTC182652,REGGIANA RIDUTTORI INDIA PRIVATE LIMITED,Active
U65990MH2019PLC322512,LAXMIBANDHAN URBAN NIDHI LIMITED,Active
U17299PN2022PTC214533,HYGIECART PRIVATE LIMITED,Active
U29309AP2005PTC046461,INAR PROFILES PRIVATE LIMITED,Active
U24124AS2004SGC007344,PRAGJYOTISH FERTILIZERS & CHEMICALS LIMITED,Active
U45200GJ1995PTC024425,VISHWA INFRASPACE PRIVATE LIMITED,Active
U72900TG2022PTC166500,SASNEVI PRIVATE LIMITED,Active
U45201GJ2003PTC042777,VISHWA INFRAPROJECTS PRIVATE LIMITED,Active
U67120JK1960PTC002072,BHANOT FINANCE PRIVATE LIMITED,Active
U37200TN2022PTC155298,MDK LABS PRIVATE LIMITED,Active
U74210KA2001PTC029340,IBIS CONSULTING PRIVATE LIMITED,Active
U74210KL1990PTC005589,MILTON ENGINEERS PVT LTD,Active
U74300KA2004PTC034163,SUCHI DESIGNS PRIVATE LIMITED,Active
U15493KL2001PTC015055,CHARUMMOOD CASHEW FACTORY PRIVATE LIMITED,Active
U70101MP1996PTC010866,VIDHYACHALI DEVELOPERS PRIVATE LIMITED,Active
U25191MP1993PLC007917,SHRINATH PIPES LTD,Active
U67110MH2022PTC390430,FINIVERSE AGGREGATOR PRIVATE LIMITED,Active
U02423MP1986PLC003573,SHRIPHAL PHARMACEUTICALS LIMITED,Active
U15118DL2022PTC404672,WHITE RHINO BEVERAGES PRIVATE LIMITED,Active
U74300MH1989PTC051025,ZOOM ADVERTISING AND PUBLICITY PRIVATE LIMITED,Active
U24110MH1986PTC041004,JIGNA ORGANICS PRIVATE LIMITED,Active
U74999KL2022PTC078100,SNOWVILLE OUTSOURCING AND CONSULTING PRIVATE LIMITED,Active
U45202MH1993PTC075085,CHIVEN CONSTRUCTIONS P LTD,Active
U74999MH1993PLC072925,AASIA ADVISORY SERVICES LIMITED,Active
U21010MH1995PTC093226,SHREE RAJ-RAJESHWARI PAP-CHEM INDUSTRIES PRIVATE LIMITED,Active
U29130MH1996PTC098365,SUNNY GEARS INDIA PRIVATE LIMITED,Active
U25209MH1994PTC081340,PROFITEX PRIVATE LIMITED,Active
U23200MH1996PTC104130,BOMIN OIL PRIVATE LIMITED,Active
U27310MH1996PTC096478,JAYSHREE DIE CASTINGS PRIVATE LIMITED,Active
U31909PN1995PTC093197,DELTA STANDARDS PRIVATE LIMITED,Active
